"species","accepted_gbif","synonyms_gbif","class","order","family","source","synonym_faunabr"
"Aburria cujubi","Pipile cujubi","Penelope cujubi","Aves","Galliformes","Cracidae","faunabr",NA
"Aburria cumanensis","Pipile cumanensis","Crax cumanensis","Aves","Galliformes","Cracidae","faunabr",NA
"Aburria jacutinga","Pipile jacutinga","Penelope jacutinga","Aves","Galliformes","Cracidae","faunabr",NA
"Acanthochelys macrocephala","Acanthochelys macrocephala","Platemys macrocephala","Reptilia","Testudines","Chelidae","faunabr",NA
"Acanthochelys radiolata","Acanthochelys radiolata","Emys radiolata","Reptilia","Testudines","Chelidae","faunabr",NA
"Acrobatornis fonsecai","Acrobatornis fonsecai",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Adenomera ajurauna","Adenomera ajurauna","Leptodactylus ajurauna","Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera andreae","Adenomera andreae","Leptodactylus andreae","Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera cantitata",NA,NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera cotuba","Adenomera cotuba",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera diptyx","Adenomera diptyx","Leptodactylus diptyx","Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera engelsi","Adenomera engelsi",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera guarani","Adenomera guarani",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera hylaedactyla","Adenomera hylaedactyla","Cystignathus hylaedactylus","Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera juikitam","Adenomera juikitam",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera kweti","Adenomera kweti",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera saci","Adenomera saci",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Adenomera thomei","Adenomera thomei","Leptodactylus thomei","Amphibia","Anura","Leptodactylidae","faunabr",NA
"Agelaioides fringillarius","Agelaioides badius",NA,"Aves","Passeriformes","Icteridae","faunabr",NA
"Agelasticus atroolivaceus","Agelasticus cyanopus atroolivaceus",NA,"Aves","Passeriformes","Icteridae","faunabr",NA
"Akodon azarae","Akodon azarae","Mus azarae","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Akodon kadiweu","Akodon kadiweu",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Akodon lindberghi","Akodon lindberghi",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Akodon mystax","Akodon mystax",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Akodon reigi","Akodon reigi",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Akodon sanctipaulensis","Akodon sanctipaulensis",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Akodon toba","Akodon toba",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Alipiopsitta xanthops","Amazona xanthops",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Allophryne relicta","Allophryne relicta",NA,"Amphibia","Anura","Allophrynidae","faunabr",NA
"Alouatta belzebul","Alouatta belzebul","Simia belzebul","Mammalia","Primates","Atelidae","faunabr",NA
"Amazona farinosa","Amazona farinosa",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Amazona ochrocephala","Amazona ochrocephala","Psittacus ochrocephalus","Aves","Psittaciformes","Psittacidae","faunabr",NA
"Amazona pretrei","Amazona pretrei",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Amazona rhodocorytha","Amazona rhodocorytha",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Ameivula abaetensis","Glaucomastix abaetensis","Cnemidophorus abaetensis","Reptilia","Squamata","Teiidae","faunabr",NA
"Ameivula cipoensis","Ameivula cipoensis",NA,"Reptilia","Squamata","Teiidae","faunabr",NA
"Ameivula confusioniba","Ameivula confusioniba","Cnemidophorus confusionibus","Reptilia","Squamata","Teiidae","faunabr",NA
"Ameivula cyanura","Glaucomastix cyanura","Cnemidophorus cyanurus","Reptilia","Squamata","Teiidae","faunabr",NA
"Amerotyphlops amoipira","Amerotyphlops amoipira","Typhlops amoipira","Reptilia","Squamata","Typhlopidae","faunabr",NA
"Amerotyphlops arenensis","Amerotyphlops arenensis",NA,"Reptilia","Squamata","Typhlopidae","faunabr",NA
"Amerotyphlops paucisquamus","Amerotyphlops paucisquamus","Typhlops paucisquamus","Reptilia","Squamata","Typhlopidae","faunabr",NA
"Amerotyphlops reticulatus","Amerotyphlops reticulatus","Anguis reticulata","Reptilia","Squamata","Typhlopidae","faunabr",NA
"Amerotyphlops yonenagae","Amerotyphlops yonenagae","Typhlops yonenagae","Reptilia","Squamata","Typhlopidae","faunabr",NA
"Ametrida centurio","Ametrida centurio",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Amphisbaena acangoaba","Amphisbaena acangaoba",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena amazonica","Amphisbaena fuliginosa",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena anaemariae","Amphisbaena anaemariae",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena anomala","Amphisbaena anomala","Aulura anomala","Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena arda","Amphisbaena arda",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena arenaria","Amphisbaena arenaria",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena arenicola","Amphisbaena arenicola",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena bahiana","Amphisbaena bahiana",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena bedai","Amphisbaena bedai","Bronia bedai","Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena caetitensis","Amphisbaena caetitensis",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena carli","Amphisbaena carli",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena carvalhoi","Amphisbaena carvalhoi",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena dubia","Amphisbaena dubia",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena filiformis","Amphisbaena filiformis",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena frontalis","Amphisbaena frontalis",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena hastata","Amphisbaena hastata",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena heathi","Amphisbaena heathi",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena hiata","Amphisbaena hiata",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena hogei","Amphisbaena hogei",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena ibijara","Amphisbaena ibijara",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena ignatiana","Amphisbaena ignatiana",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena kingii","Amphisbaena kingii",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena kiriri","Amphisbaena kiriri",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena leeseri","Amphisbaena leeseri",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena leucocephala","Amphisbaena leucocephala",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena littoralis","Amphisbaena littoralis",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena longigua","Amphisbaena longinqua",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena lumbricalis","Amphisbaena lumbricalis",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena maranhensis","Amphisbaena maranhensis",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena mebengokre","Amphisbaena mebengokre",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena metallurga","Amphisbaena metallurga",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena miringoera","Amphisbaena miringoera",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena mitchelli","Amphisbaena mitchelli",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena mongoyo","Amphisbaena mongoyo",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena munoai","Amphisbaena munoai",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Amphisbaena nana","Amphisbaena nana",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
